iteration,loss,augmented_lagrangian_loss,x_test_loss,y_test_loss
0,1866.7860107421875,1871.197265625,"tensor(10.685053, device='cuda:0')","tensor(28.121439, device='cuda:0')"
1,1663.47900390625,1663.90185546875,"tensor(11.916367, device='cuda:0')","tensor(27.214005, device='cuda:0')"
2,1585.0260009765625,1585.0694580078125,"tensor(11.741228, device='cuda:0')","tensor(26.828310, device='cuda:0')"
3,1523.0233154296875,1523.02294921875,"tensor(11.783747, device='cuda:0')","tensor(27.064611, device='cuda:0')"
4,1471.50048828125,1471.5,"tensor(11.828074, device='cuda:0')","tensor(27.471037, device='cuda:0')"
5,1425.9957275390625,1425.9951171875,"tensor(11.916371, device='cuda:0')","tensor(27.406803, device='cuda:0')"
6,1384.8931884765625,1384.8927001953125,"tensor(11.740167, device='cuda:0')","tensor(27.159115, device='cuda:0')"
7,1345.3724365234375,1345.3720703125,"tensor(11.783048, device='cuda:0')","tensor(27.074476, device='cuda:0')"
8,1307.505126953125,1307.504638671875,"tensor(11.827390, device='cuda:0')","tensor(27.201483, device='cuda:0')"
9,1270.8839111328125,1270.8831787109375,"tensor(11.916371, device='cuda:0')","tensor(27.292387, device='cuda:0')"
10,1235.70556640625,1235.704833984375,"tensor(11.739161, device='cuda:0')","tensor(27.248512, device='cuda:0')"
11,1200.406494140625,1200.406005859375,"tensor(11.782246, device='cuda:0')","tensor(27.166388, device='cuda:0')"
12,1165.5693359375,1165.56884765625,"tensor(11.826666, device='cuda:0')","tensor(27.157221, device='cuda:0')"
13,1131.2996826171875,1131.2991943359375,"tensor(11.916371, device='cuda:0')","tensor(27.199377, device='cuda:0')"
14,1098.369873046875,1098.3692626953125,"tensor(11.738070, device='cuda:0')","tensor(27.218554, device='cuda:0')"
15,1065.4578857421875,1065.4571533203125,"tensor(11.781435, device='cuda:0')","tensor(27.194654, device='cuda:0')"
16,1033.1063232421875,1033.10546875,"tensor(11.825916, device='cuda:0')","tensor(27.168200, device='cuda:0')"
17,1001.0183715820312,1001.0173950195312,"tensor(11.916371, device='cuda:0')","tensor(27.166994, device='cuda:0')"
18,970.1718139648438,970.1705932617188,"tensor(11.736938, device='cuda:0')","tensor(27.179399, device='cuda:0')"
19,939.3612060546875,939.3598022460938,"tensor(11.780634, device='cuda:0')","tensor(27.180174, device='cuda:0')"
20,909.00341796875,909.0020751953125,"tensor(11.825131, device='cuda:0')","tensor(27.167921, device='cuda:0')"
21,878.9105834960938,878.9093627929688,"tensor(11.916371, device='cuda:0')","tensor(27.156673, device='cuda:0')"
22,850.3560791015625,850.3545532226562,"tensor(11.735756, device='cuda:0')","tensor(27.155977, device='cuda:0')"
23,821.7821044921875,821.7807006835938,"tensor(11.779849, device='cuda:0')","tensor(27.157608, device='cuda:0')"
24,793.8737182617188,793.8720703125,"tensor(11.824313, device='cuda:0')","tensor(27.153931, device='cuda:0')"
25,766.4602661132812,766.4583740234375,"tensor(11.916372, device='cuda:0')","tensor(27.145500, device='cuda:0')"
26,740.086669921875,740.0848999023438,"tensor(11.734564, device='cuda:0')","tensor(27.140459, device='cuda:0')"
27,713.75537109375,713.7535400390625,"tensor(11.779083, device='cuda:0')","tensor(27.138397, device='cuda:0')"
28,687.8850708007812,687.883056640625,"tensor(11.823438, device='cuda:0')","tensor(27.135864, device='cuda:0')"
29,662.3943481445312,662.3922119140625,"tensor(11.916372, device='cuda:0')","tensor(27.130133, device='cuda:0')"
30,638.43408203125,638.43115234375,"tensor(11.733363, device='cuda:0')","tensor(27.125387, device='cuda:0')"
31,614.2127685546875,614.2092895507812,"tensor(11.778330, device='cuda:0')","tensor(27.121628, device='cuda:0')"
32,590.703857421875,590.7017822265625,"tensor(11.822488, device='cuda:0')","tensor(27.118109, device='cuda:0')"
33,567.3697509765625,567.365966796875,"tensor(11.916372, device='cuda:0')","tensor(27.112928, device='cuda:0')"
34,545.1451416015625,545.1429443359375,"tensor(11.732159, device='cuda:0')","tensor(27.108953, device='cuda:0')"
35,522.685791015625,522.68359375,"tensor(11.777607, device='cuda:0')","tensor(27.105066, device='cuda:0')"
36,500.9435119628906,500.9410400390625,"tensor(11.821464, device='cuda:0')","tensor(27.100918, device='cuda:0')"
37,480.23309326171875,480.2303771972656,"tensor(11.916372, device='cuda:0')","tensor(27.095442, device='cuda:0')"
38,461.2030029296875,461.2000427246094,"tensor(11.730954, device='cuda:0')","tensor(27.091669, device='cuda:0')"
39,442.2119140625,442.20916748046875,"tensor(11.776937, device='cuda:0')","tensor(27.087961, device='cuda:0')"
40,424.29229736328125,424.2894287109375,"tensor(11.820365, device='cuda:0')","tensor(27.083685, device='cuda:0')"
41,406.7862548828125,406.78326416015625,"tensor(11.916372, device='cuda:0')","tensor(27.077930, device='cuda:0')"
42,390.15802001953125,390.1549987792969,"tensor(11.729770, device='cuda:0')","tensor(27.074076, device='cuda:0')"
43,373.10919189453125,373.1061096191406,"tensor(11.776327, device='cuda:0')","tensor(27.070452, device='cuda:0')"
44,356.74114990234375,356.7378234863281,"tensor(11.819175, device='cuda:0')","tensor(27.066227, device='cuda:0')"
45,340.91461181640625,340.9112243652344,"tensor(11.916372, device='cuda:0')","tensor(27.060349, device='cuda:0')"
46,326.32427978515625,326.3204040527344,"tensor(11.728598, device='cuda:0')","tensor(27.056368, device='cuda:0')"
47,311.6985778808594,311.6950378417969,"tensor(11.775764, device='cuda:0')","tensor(27.052687, device='cuda:0')"
48,297.89520263671875,297.8917541503906,"tensor(11.817903, device='cuda:0')","tensor(27.048477, device='cuda:0')"
49,284.8626708984375,284.8592529296875,"tensor(11.916373, device='cuda:0')","tensor(27.042549, device='cuda:0')"
50,273.4394226074219,273.4360656738281,"tensor(11.727470, device='cuda:0')","tensor(27.038511, device='cuda:0')"
51,261.82421875,261.8210144042969,"tensor(11.775235, device='cuda:0')","tensor(27.034788, device='cuda:0')"
52,251.22821044921875,251.22509765625,"tensor(11.816522, device='cuda:0')","tensor(27.030600, device='cuda:0')"
53,241.03004455566406,241.0271759033203,"tensor(11.916373, device='cuda:0')","tensor(27.024649, device='cuda:0')"
54,232.3824005126953,232.3795928955078,"tensor(11.726463, device='cuda:0')","tensor(27.020613, device='cuda:0')"
55,223.74349975585938,223.74087524414062,"tensor(11.774720, device='cuda:0')","tensor(27.016890, device='cuda:0')"
56,215.86431884765625,215.8621826171875,"tensor(11.815031, device='cuda:0')","tensor(27.012737, device='cuda:0')"
57,208.24545288085938,208.24359130859375,"tensor(11.916374, device='cuda:0')","tensor(27.006762, device='cuda:0')"
58,202.0716552734375,202.06997680664062,"tensor(11.725629, device='cuda:0')","tensor(27.002745, device='cuda:0')"
59,195.94049072265625,195.93910217285156,"tensor(11.774178, device='cuda:0')","tensor(26.999043, device='cuda:0')"
60,190.58657836914062,190.5853729248047,"tensor(11.813454, device='cuda:0')","tensor(26.994957, device='cuda:0')"
61,185.7353973388672,185.73440551757812,"tensor(11.916374, device='cuda:0')","tensor(26.988997, device='cuda:0')"
62,182.3448028564453,182.34400939941406,"tensor(11.724982, device='cuda:0')","tensor(26.985054, device='cuda:0')"
63,178.67434692382812,178.67379760742188,"tensor(11.773562, device='cuda:0')","tensor(26.981443, device='cuda:0')"
64,175.5753631591797,175.5748291015625,"tensor(11.811861, device='cuda:0')","tensor(26.977503, device='cuda:0')"
65,172.5699462890625,172.56956481933594,"tensor(11.916375, device='cuda:0')","tensor(26.971611, device='cuda:0')"
66,170.75509643554688,170.75474548339844,"tensor(11.724423, device='cuda:0')","tensor(26.967766, device='cuda:0')"
67,168.44515991210938,168.44496154785156,"tensor(11.772841, device='cuda:0')","tensor(26.964237, device='cuda:0')"
68,166.52938842773438,166.52914428710938,"tensor(11.810394, device='cuda:0')","tensor(26.960402, device='cuda:0')"
69,164.5069580078125,164.5067596435547,"tensor(11.916375, device='cuda:0')","tensor(26.954514, device='cuda:0')"
70,163.55389404296875,163.55369567871094,"tensor(11.723750, device='cuda:0')","tensor(26.950691, device='cuda:0')"
71,162.01275634765625,162.01268005371094,"tensor(11.771975, device='cuda:0')","tensor(26.947176, device='cuda:0')"
72,161.0545654296875,161.05441284179688,"tensor(11.809184, device='cuda:0')","tensor(26.943331, device='cuda:0')"
73,161.11767578125,161.11761474609375,"tensor(11.916375, device='cuda:0')","tensor(26.937515, device='cuda:0')"
74,162.692138671875,162.69195556640625,"tensor(11.722933, device='cuda:0')","tensor(26.933607, device='cuda:0')"
75,165.52557373046875,165.52581787109375,"tensor(11.770501, device='cuda:0')","tensor(26.931070, device='cuda:0')"
76,163.03614807128906,163.03591918945312,"tensor(11.808490, device='cuda:0')","tensor(26.926504, device='cuda:0')"
77,165.50218200683594,165.5023193359375,"tensor(11.916375, device='cuda:0')","tensor(26.921730, device='cuda:0')"
78,163.20697021484375,163.20672607421875,"tensor(11.722425, device='cuda:0')","tensor(26.916937, device='cuda:0')"
79,165.66748046875,165.66766357421875,"tensor(11.768348, device='cuda:0')","tensor(26.914755, device='cuda:0')"
80,162.8529052734375,162.8527069091797,"tensor(11.808302, device='cuda:0')","tensor(26.909943, device='cuda:0')"
81,165.09893798828125,165.0990447998047,"tensor(11.916375, device='cuda:0')","tensor(26.905392, device='cuda:0')"
82,162.93006896972656,162.9298553466797,"tensor(11.721821, device='cuda:0')","tensor(26.900299, device='cuda:0')"
83,165.3575897216797,165.35775756835938,"tensor(11.766015, device='cuda:0')","tensor(26.898203, device='cuda:0')"
