iteration,loss,augmented_lagrangian_loss,x_test_loss,y_test_loss
0,37730.62890625,37754.7109375,21.080045700073242,43.16233444213867
1,37220.99609375,37219.4140625,21.089323043823242,43.20100402832031
2,36725.02734375,36724.359375,21.101642608642578,43.24642562866211
3,36236.546875,36236.38671875,21.11825180053711,43.307960510253906
4,35756.8515625,35756.73046875,21.138587951660156,43.383934020996094
5,35285.9453125,35285.8125,21.162113189697266,43.47241973876953
6,34823.60546875,34823.47265625,21.188453674316406,43.57198715209961
7,34369.78515625,34369.66015625,21.217174530029297,43.68128204345703
8,33924.13671875,33924.01171875,21.24799156188965,43.798614501953125
9,33486.08203125,33485.953125,21.280628204345703,43.92303466796875
10,33055.6015625,33055.5,21.301259994506836,44.053497314453125
11,32632.83203125,32632.720703125,21.32018280029297,44.18919372558594
12,32217.4140625,32217.310546875,21.34088897705078,44.32903289794922
13,31808.75,31808.65234375,21.363245010375977,44.471927642822266
14,31406.89453125,31406.8203125,21.386995315551758,44.61732864379883
15,31012.115234375,31012.060546875,21.412092208862305,44.765350341796875
16,30624.154296875,30624.099609375,21.438507080078125,44.91527557373047
17,30242.4296875,30242.365234375,21.46582794189453,45.06658172607422
18,29866.939453125,29866.875,21.493940353393555,45.2108154296875
19,29497.56640625,29497.529296875,21.522769927978516,45.35588073730469
20,29134.228515625,29134.1875,21.55222511291504,45.501773834228516
21,28776.69921875,28776.666015625,21.582218170166016,45.6480598449707
22,28424.904296875,28424.87109375,21.6126708984375,45.794456481933594
23,28078.609375,28078.56640625,21.643522262573242,45.94069290161133
24,27737.76171875,27737.7265625,21.674713134765625,46.086551666259766
25,27402.39453125,27402.3671875,21.70623779296875,46.23188018798828
26,27072.228515625,27072.205078125,21.737974166870117,46.376651763916016
27,26747.35546875,26747.33203125,21.769990921020508,46.521095275878906
28,26427.53515625,26427.51171875,21.802183151245117,46.6647834777832
29,26112.599609375,26112.580078125,21.834529876708984,46.807369232177734
30,25802.36328125,25802.333984375,21.866857528686523,46.948577880859375
31,25496.7109375,25496.6953125,21.89912986755371,47.08826446533203
32,25195.55859375,25195.5390625,21.931272506713867,47.22658920288086
